titulo,autor(es),editora,descrição
O Livro do Assassino,Jonathan Kellerman,,"Neste livro, o psicólogo e policial Alex Delaware recebe um álbum com assustadoras fotos de cenas de crimes. As imagens nada significam para ele, mas seu colega Milo identifica a vítima de um caso dos seus tempos de novato, que ficou sem solução. Os dois investigam a origem das fotos e as pistas levam a um policial aposentado que fará tudo para manter seu mortos enterrados.
"
O Bebê de Rosemary,Ira Levin,,"Alugando um apartamento em antigo prédio de Nova Iorque, os recém-casados Rosemary e Guy Woodhouse organizam suas vidas com pequena ajuda dos vizinhos Minnie e Roman Castevet. Guy é ator e luta por um papel de destaque, enquanto Rosemary decora com ar mais alegre o apartamento onde anteriormente foi cometido um crime. Guy consegue um papel graças a um acidente com o ator titular e, logo depois, Rosemary tem um pesadelo no qual é possuída pelo demônio. Passado algum tempo, Rosemary descobre que está grávida e é tratada por Minnie e o médico desta, Dr. Sapirstein com vitaminas especiais. Fatos estranhos levam Rosemary a desconfiar que todas estas pessoas estão envolvidas com magia negra, começando a suspeitar que o marido, um ator que, literalmente, venderia a alma ao diabo para conquistar o sucesso, mantém ligações perigosas com vizinhos praticantes de bruxaria, que desejam possuir o filho dela que vai nascer.
"
Eu Sou a Lenda,Richard Matheson,,"Robert Neville é o último homem vivo sobre a Terra... mas ele não está sozinho. Cada outro homem, mulher e criança na Terra se tornou um vampiro, e todos estão famintos pelo sangue de Neville. De dia, ele é o caçador, caçando os não mortos adormecidos através das ruínas abandonadas da civilização. À noite, se entrincheira em sua casa e reza pela madrugada.Quanto tempo pode um homem sobreviver num mundo de vampiros? ""Acho que o autor que mais me influenciou como escritor foi Richard Matheson. Livros como Eu Sou a Lenda foram uma inspiração para mim."" Stephen King ""A mais inteligente e empolgante ficção sobre vampiros desde Drácula."" Dean Koontz ""Já conhecia Matheson pelo fabuloso Amor Além da Vida. Em Eu Sou a Lenda, o escritor escancara as portas do suspense e da agonia, levando o leitor a viver momentos de pura tensão e curiosidade. Um livro imperdível para os fãs de histórias de vampiros e afins.""
"
A Profecia,David Seltzer,,"Em 1975, o anticristo nasceu. Uma criança protegida pelas forças do mal. Nascido de um chacal no dia seis de junho as 6:00 da manhã, o pequeno Damien foi adotado por uma família, que teria sua vida mudada pela criança que possuía o número 666 marcado em sua cabeça.
"
Relíquias,Tess Gerritsen,,"A descoberta de uma múmia conhecida como Madame X, que esconde na verdade o corpo de uma mulher assassinada há pouco tempo, choca a comunidade arqueológica. A detetive Jane Rizzoli e a patologista Maura Isles se unem novamente para resolver o mistério. Elas se deparam com um assassino em série que simula rituais de povos antigos com suas vítimas, transformando seus corpos em verdadeiras relíquias. E, para complicar, ele parece ter desenvolvido uma fixação com uma jovem egiptóloga, Josephine Pulcillo, cujo passado misterioso pode ser a chave para as investigadoras encontrarem o criminoso.
"
Os Três,Sarah Lotz,,"Quinta-Feira Negra. O dia que nunca será esquecido. O dia em que quatro aviões caem, quase no mesmo instante, em quatro pontos diferentes do mundo. Há apenas quatro sobreviventes. Três são crianças. Elas emergem dos destroços aparentemente ilesas, mas sofreram uma transformação. A quarta pessoa é Pamela May Donald, que só vive tempo suficiente para deixar um alerta em seu celular: Eles estão aqui. O menino. O menino, vigiem o menino, vigiem as pessoas mortas, ah, meu Deus, elas são tantas... Estão vindo me pegar agora. Vamos todos embora logo. Todos nós. Pastor Len, avise a eles que o menino, não é para ele... Essa mensagem irá mudar completamente o mundo. “Os Três é um livro maravilhoso, uma mistura de Michael Crichton com Shirley Jackson. Muito instigante, impossível parar de ler.” – Stephen King
"
O Vale dos Mortos,Rodrigo de Oliveira,,"Estamos em 2017 ... Cientistas descobrem um planeta vermelho em rota de colisão com a Terra. Depois de muito pânico nos quatro cantos do mundo, eles asseguram que o astro passaria a uma distância segura. E todos ficam tranquilos acreditando que nada iria acontecer... Uma profecia esquecida do Apocalipse, reiterada por outros profetas modernos, ressurge... “Então 2/3 de todas as pessoas no Planeta são acometidas por uma estranha doença... E abriu-se o poço do abismo, de onde saíram seres como gafanhotos com poderes de escorpiões. E os homens buscarão a morte e a morte fugirá deles."" Apocalipse 9:2-6. Então um grupo luta por sobreviver num mundo dominado pelo mal.
"
A Cidade das Sombras,Jeanna DuPrau,,"O desafio de Lina Mayfleet e Doon Harrow, ambos de 12 anos, é nada menos do que salvar toda a população da cidade em que vivem, a estranha Ember, onde não há sol nem lua. A iluminação do lugar depende de um gerador, que, após duas centenas de anos, dá mostras de que não vai durar muito. Mas como duas crianças podem acabar com tamanha responsabilidade nas mãos? É essa a história do infanto-juvenil Ember A cidade das sombras, de Jeanne DuPrau.
"
Vida Encantada,Diana Wynne Jones,,"Viaje para os mundos onde a magia é tão comum quanto a matemática - e duas vezes mais perigosa em mãos erradas! Neste mundo mágico com vários universos paralelos, um menino mago com nove vidas, Eric Chant (mais conhecido como Gato), começa sua grande aventura. A irmã dele, Gwendolen Chant, é uma bruxinha superdotada, com poderes espantosos, de modo que ela acha muito conveniente ser levada para morar no Castelo Crestomanci. O problema é que Eric não está tão ansioso para isso, pois ainda não conhece o poder que tem e não possui o menor talento para magia.
Mas a vida com o grande mago e sua família não é o que os dois imaginam que seria, e logo começam as confusões...
"
Os Magos de Caprona,Diana Wynne Jones,,"Qualquer coisa pode acontecer no mundo de Crestomanci. Esta aventura tem lugar no Ducado de Caprona, na Itália onde a música faz encantamentos e os feitiçoes são escorregadios como espaguete! A Casa Montana e a Casa Petrocchi controlam todo o negócio de feitiços em Caprona, protegidas pela magnífica estátua do seu guardião, o Anjo. Mas as duas famílias vêm brigando há anos, de modo que, quando todos os feitiçoes começam a dar errado, elas naturalmente culpam uma à outra.
As coisas ficam ainda piores quando os jovens Tonino Montana e Angelica Petrocchi desaparecem de repente. Será que os terríveis boatos sobre um Demônio Branco que ameaça o Anjo de Caprona são verdadeiros, afinal? 
"
Mil Mágicas,Diana Wynne Jones,,"O mundo de Crestomanci é vizinho ao nosso. No sentido mais literário de que a diferença entre os dois lugares é a magia. Neste ambiente, feiticeiros, bruxas, taumaturgos, bruxos, faquires, mágicos, mandingueiros, magos, xamãs adivinhos e muitos outros, até a mais humilde bruxa, praticam a magia, muitas vezes sem controle. Por isso, o importante papel do mago mais forte que não deixa ninguém usar os poderes de forma incorreta. O personagem forte que organiza este mundo encantando é o onipotente “Crestomanci”. É para ler e se divertir com os contos, entre eles o do Feiticeiro Feliz que era apaixonado por carros e cometia várias loucuras. O azarado de nascença perdeu a magia porque aprontava muito e entrou para a vida do crime acreditando que seria a única saída, mas isto até passar por muitos apertos, como a fuga de um policial.
"
As Vidas de Christopher Chant,Diana Wynne Jones,,"Este é o segundo livro da série ""Os Mundos de Crestomanci"". A ação se passa 25 anos antes, mostrando as origens da magia na vida do personagem principal. Mais uma vez a imaginação rola solta, em um livro que tem o poder mágico de - em mãos de crianças ou adultos - não ser largado até que se chegue ao seu final.
"
A Semana dos Bruxos,Diana Wynne Jones,,"Os mundos de Crestomanci têm possibilidades ilimitadas... Este é um mundo onde a bruxaria está absolutamente proibida, mas ainda assim a mágica pipoca como sarampo - em todos os lugares! Quando um bilhete escrito à caneta aparece entre dois dos cadernos de geografia que o Sr. Crossley estava corrigindo, ele fica muito irritado. Ali dizia:
 

ALGUÉM NESTA TURMA É BRUXO.
 

Qualquer um poderia ter escrito aquilo, mas o pior de tudo é que poderia ser verdade, pois o Internato de Larwood é uma escola para órfãos de bruxos! E a última coisa de que o Sr. Crossley precisa é de uma visita do Inquisidor... Só Crestomanci pode resolver a confusão que está se armando!
"
O Fim,Lemony Snicket,,"Finalmente, o tão esperado 13o. volume que encerra a longa narrativa da terrível saga dos órfãos Sunny, Klaus e Violet. Mesmo que a vida dos três oferecesse mistério e martírio suficientes para preencher milhares de páginas, Lemony Snicket garante ter chegado à reta final da solene tarefa que lhe ocupou tantos anos de vida.
Mas, como sempre, vale o alerta: aqueles que encontram prazer e alegria em outras coisas, que passem ao largo deste livro - pois é bem possível que O fim acabe com a vida do leitor mais suscetível. Mesmo quem enfrentou corajosamente os doze volumes anteriores não irá suportar tanta desgraça, como uma tempestade bravia, uma bebida suspeita, um bando de ovelhas selvagens, uma gaiola de passarinho gigante e ornamentada, e um segredo de fato assustador sobre os pais dos Baudelaire.
Para completar, diferentemente dos outros livros da série, neste último o grande vilão, conde Olaf, está presente desde o início da narrativa. Ele e os Baudelaire começam juntos: estão todos no barco que os salvou no final de O penúltimo perigo. Atracam em uma ilha, que, perdida no meio do oceano, é povoada por náufragos e comandada por Ishmael, um homem barbudo que tem os pés feridos sempre cobertos de barro. Tudo muito suspeito...
Será que todo o mistério finalmente será revelado? Afinal, quem são os pais dos órfãos Baudelaire, o que é C.S.C., e o que acontecerá com todos os personagens da série? Bem, talvez O fim não seja para qualquer um. Por isso é de fato muito recomendável que se faça um check-up cardíaco antes de ler o livro.
"
Mau Começo,Lemony Snicket,,"Mau Começo é o primeiro volume de uma série em que Lemony Snicket conta as desventuras dos irmãos Baudelaire. Violet, Klaus e Sunny são encantadores e inteligentes, mas ocupam o primeiro lugar na classificação das pessoas mais infelizes do mundo. De fato, a infelicidade segue os seus passos desde a primeira página, quando eles estão na praia e recebem uma trágica notícia. Esses ímãs que atraem desgraças terão de enfrentar, por exemplo, roupas que pinicam o corpo, um gosmento vilão dominado pela cobiça, um incêndio calamitoso e mingau frio no café da manhã. É por isso que, logo na quarta capa, Snicket avisa ao leitor: ""Não há nada que o impeça de fechar o livro imediatamente e sair para uma outra leitura sobre coisas felizes, se é isso que você prefere"".
"
A Sala Dos Repteis,Lemony Snicket,,"Lemony Snicket é um autor que não pode ser acusado de falta de franqueza. Sabe que nem todo mundo suporta as tristezas que ele conta e por isso - para que depois ninguém reclame - faz questão de avisar: ""Se você esperava encontrar uma história tranqüila e alegre, lamento dizer que escolheu o livro errado. A história pode parecer animadora no início, quando os meninos Baudelaire passam o tempo em companhia de alguns répteis interessantes e de um tio alto-astral, mas não se deixem enganar..."".
 

Os Baudelaire têm mesmo uma incrível má sorte, mas pode-se afirmar que a vida deles seria bem mais fácil se não tivessem de enfrentar o tempo todo as armadilhas de seu arquiinimigo: o conde Olaf, um homem revoltante, gosmento e pérfido. Em Mau Começo ele deu uma pequena amostra do que é capaz de fazer para infernizar a vida de Violet, Klaus e Sunny Baudelaire - e aqui as coisas só pioram.
"
O Lago Das Sanguessugas,Lemony Snicket,,"O misterioso autor das Desventuras em Série não só alcançou a lista de best-sellers infanto-juvenis do New York Times, como conseguiu entrar em todas as outras principais referências de vendagem americanas. Com sua estranha franqueza, na contracapa deste livro ele manda um recado a seus possíveis leitores:
 

""Caro leitor,
Se você ainda não leu nada sobre os órfãos Baudelaire, é preciso que antes mesmo de começar a primeira frase deste livro fique sabendo o seguinte: Violet, Klaus e Sunny são legais e superinteligentes, mas a vida deles, lamento dizer, está repleta de má sorte e infelicidade. Todas as histórias sobre essas três crianças são uma tristeza e uma verdadeira desgraça, e a que você tem nas mãos talvez seja a pior de todas. Se você não tem estômago para engolir uma história que inclui um furacão, uma invenção para sinalizar pedidos de socorro, sanguessugas famintas, caldo frio de pepinos, um horrendo vilão e uma boneca chamada Perfeita Fortuna, é provável que se desespere ao ler este livro. Continuarei a registrar essas histórias trágicas, pois é o que sei fazer. Cabe a você, no entanto, decidir se verdadeiramente será capaz de suportar esta história de horrores.
 

Respeitosamente,
Lemony Snicket""
"
Serraria Baixo-Astral,Lemony Snicket,,"Na opinião de Lemony Snicket, ""de todos os volumes que contam a vida infeliz dos órfãos Baudelaire, Serraria baixo-astral talvez seja o mais triste até agora"". Alto-Astral é o nome da serraria que serve de cenário para as novas calamidades que Klaus, Violet e Sunny serão obrigados a viver. Trata-se de uma ""ironia do destino"", pois ali, no meio daquelas árvores derrubadas, daquelas enormes toras de madeira, o que as três crianças vão encontrar é mais uma coleção de coisas horripilantes, tais como uma gigantesca pinça mecânica, bifes do tipo sola de sapato, uma hipnotizadora e um homem com uma nuvem de fumaça no lugar da cabeça. A vida dos Baudelaire é mesmo muito diferente da vida da maioria das pessoas, ""a diferença principal estando no grau de infelicidade, horror e desespero""...
 

Diante desse quadro, algum leitor desavisado pode desconfiar: ""Como é que alguém vai se divertir com um livro desses, se as personagens não param de sofrer?!"". A pergunta faz sentido, mas é justamente aí que descobrimos um dos melhores segredos de Lemony Snicket, pseudônimo do americano Daniel Handler. Ele leva o exagero às raias do absurdo, faz o realismo perder feio para o mais deslavado faz-de-conta e o resultado não poderia ser outro: um jogo literário incessantemente bem-humorado.
"
Inferno no colégio interno,Lemony Snicket,,"Nada de aventuras emocionantes com final feliz: Violet, Klaus e Sunny Baudelaire são legais e inteligentes, mas a vida deles está repleta de má sorte e infelicidade. Em Inferno no colégio interno, os três irmãos enfrentam caranguejos, provas hiper-rigorosas e os castigos de um internato.
 

O colégio se transformou em mais um desastroso episódio de suas vidas horríveis. Desta vez, eles precisam escapar de fungos gotejantes e assistir a recitais de violinos, além de entender o complicado sistema métrico e suportar os exercícios de D.O.R. Violet, Klaus e Sunny têm o poder de atrair desgraças.
 

Quem gosta de histórias alegres não deve nem abrir este livro, avisa o autor, pois as histórias dos Baudelaire são sempre uma desventura pior do que a outra.
 
"
O Elevador Ersatz,Lemony Snicket,,"Como nos episódios anteriores, o sexto livro de Desventuras em série está repleto de desgraça, desespero e mal-estar. Quando essa nova desilusão começa, os irmãos Baudelaire estão acompanhados do Sr. Poe, um executivo de banco que ficara encarregado das crianças depois da morte dos pais deles num horrível incêndio.
 

Eles vão até à residência da família Squalor, os novos tutores dos Baudelaire. O Sr. Poe acredita que ali Violet, Klaus e Sunny estarão a salvo do ganancioso e traiçoeiro Conde Olaf, que foi o primeiro tutor dos três irmãos e que pretende, desde então, apropriar-se da fortuna herdada pelos Baudelaire. A última maldade cometida por Conde Olaf foi raptar os trigêmeos Quagmire, de quem os Baudelaire haviam ficado amigos no colégio interno.
 

Jerome e Esmé Squalor moram num apartamento de cobertura na Avenida Sombria. Para o desânimo dos três irmãos, o elevador do prédio foi desligado e eles são obrigados a chegar ao último andar pelas escadas escuras e tenebrosas. Depois de muitos e muitos degraus, eles finalmente chegam à casa nova, um enorme apartamento com 71 quartos, e descobrem que seus novos pais os tinham adotado apenas porque ter órfãos estava na moda.
 

Os irmãos parecem bem instalados, mas uma nova aparição do Conde Olaf vem trazer pavor aos Baudelaire. Eles agora têm de descobrir um jeito de se livrar dessa pérfida ameaça. A resposta pode estar no elevador ersatz, uma passagem secreta tão escura quanto ""uma pantera negra como azeviche, coberta de piche, comendo alcaçuz preto no ponto mais profundo da parte mais funda do Mar Negro"". E os perigos estão só começando. Dali em diante, uma montanha de horrores e desgostos ainda espera pelos desafortunados irmãos Baudelaire.
"
A Cidade Sinistra Dos Corvos,Lemony Snicket,,"Os irmãos Baudelaire não conseguem acreditar no que lêem na primeira página do jornal. Uma reportagem informa que o pérfido Conde Olaf raptou não apenas os irmãos Duncan e Isadora Quagmire, mas também Esmé Squalor. O texto não poderia ser mais enganoso: Esmé tinha sido tutora das crianças recentemente, e os Baudelaire sabem muito bem que o Conde Olaf nunca a seqüestraria. Olaf e Esmé são na verdade aliados num plano maligno para se apropriar da fortuna das três crianças.
 

Violet, catorze anos, é a mais velha dos irmãos Baudelaire, os órfãos mais desafortunados do mundo. Klaus, o irmão do meio, tem treze anos e já leu mais livros do que qualquer criança de sua idade. Sunny, a mais nova, é um bebê pouco maior do que uma melancia. Assim como os irmãos Duncan e Isadora, as crianças Baudelaire perderam os pais num incêndio, e a amizade com os Quagmire era praticamente o único acontecimento feliz que havia acontecido nas suas vidas desde que ficaram órfãos.
 

Nessa nova desventura eles terão de se haver com mais uma providência desastrada do sr. Poe, um executivo de banco que tinha sido o primeiro tutor dos Baudelaire e ainda cuidava da fortuna dos irmãos. O sr. Poe decide inscrevê-los num programa de adoção de menores, em que toda uma cidade se responsabiliza por crianças que tenham perdido os pais. O programa tem um slogan amedrontador: ""É preciso uma cidade para educar uma criança"". Violet, Klaus e Sunny são mandados para a apavorante cidade de C.S.C. e assim tem início mais um lamentável episódio da tenebrosa existência dos Baudelaire.
"
O Hospital Hostil,Lemony Snicket,,"Um período especialmente infeliz se anuncia nas vidas aflitivas de Violet, Klaus e Sunny Baudelaire. Durante uma tenebrosa e exaustiva caminhada noturna, eles param diante do Armazém Geral Última Chance e decidem entrar para pedir ajuda.
 

Eles não podem recorrer aos pais (pois os perderam num incêndio), nem à polícia (que estava entre seus perseguidores noturnos), tampouco a conhecidos (pois os irmãos têm conhecidos demais, o que é quase o mesmo que não ter nenhum).
 

Depois da morte dos pais no incêndio, Violet, Klaus e Sunny se vêem sob os cuidados de inúmeros tutores, alguns deles cruéis, como o ganancioso e traiçoeiro Conde Olaf, o vilão que é o verdadeiro responsável por eles estarem ali, totalmente sozinhos no meio da noite, em frente ao Armazém.
 

Violet, Klaus e Sunny resolvem passar um telegrama para o sr. Poe, um banqueiro que fora encarregado de cuidar dos órfãos. O sr. Poe nunca se mostrou especialmente eficaz, mas pelo menos ele não era cruel, não tinha sido assassinado nem era o Conde Olaf, e essas parecem ser razões suficientes para contatá-lo.
 

Além de se safar de terríveis enrascadas, os Baudelaire ainda terão de suportar a estada no sinistro Hospital Heimlich e provar que não são cruéis assassinos. Esse é apenas o começo de páginas e páginas de situações desesperadoras, que contêm detalhes opressivos como um desconfiado dono de armazém, uma cirurgia desnecessária, um sistema de intercomunicadores, uma anestesia e balões em forma de coração.
"
O Espetáculo Carnívoro,Lemony Snicket,,"No princípio de mais um episódio funesto de suas penosas existências, Violet, Klaus e Sunny Baudelaire se encontram no porta-malas de um carro preto. Qualquer pessoa que não seja um pacote ou uma mala preferiria viajar confortavelmente instalado no banco do passageiro, mas os órfãos Baudelaire não têm escolha. Quando refugiaram-se no bagageiro desse carro sinistro, eles escapavam de uma situação ainda pior.
As três crianças encontram-se na ""barriga da fera"", o que vale dizer que estão numa enrascada. Ao volante do automóvel está o ganancioso Conde Olaf, um vilão traiçoeiro que, desde que os Baudelaire perderam os pais num incêndio, vem perseguindo os três com o objetivo de se apossar da fortuna herdada por eles. Até aqui, felizmente, ele foi mal-sucedido.
Além de se safar dessa armadilha, em O espetáculo carnívoro Violet, Klaus e Sunny Baudelaire terão de escapar do Parque Caligari e enfrentar uma multidão indócil. Tudo isso para tentar localizar o dossiê Snicket e decifrar a sigla C.S.C., que pode confirmar se um dos pais das crianças realmente sobreviveu ao terrível incêndio.
 

Pseudônimo do escritor Daniel Handler, Lemony Snicket se tornou um fenômeno editorial em todo o mundo. Snicket homenageia Edgar Allan Poe e Charles Baudelaire, pais da literatura de mistério e da poesia simbolista, subvertendo os padrões bem comportados da literatura infanto-juvenil para compor uma saga engraçada e arrepiante.
"
